公司名,薪资,职位名称
硕索福特,15-30k,后端开发工程师
百度在线网络技术(北京)有限公司上海软件技术分公司,15-25k·13薪,高级数据分析师（销售BI）
杭州易景数通科技有限公司,25-50k·13薪,资深DBA数据库管理员
德勤,19-35k,Python Data Analytics Engineer
群核信息技术,20-30k·15薪,python高级研发工程师（上海）
中国钢研科技集团有限公司,15-20k,后端工程师（Python）-钢研新业务
江苏锐力斯三维科技有限公司,10-15k,Python工程师
广州市银河在线饰品有限公司,18-27k·15薪,python开发工程师（AI 人工智能）
氪信科技,10-15k·13薪,风控建模分析师（杭州） (MJ000168)
软通动力,8-16k,Python开发工程师
数质院,20-35k,python开发工程师
天讯瑞达,7-13k·13薪,Python 软件工程师
弘图微,40-50k·13薪,资深ISP验证工程师
上海安毅奇科技有限公司,14-20k,python编程讲师
太初(无锡)电子科技有限公司,25-35k·15薪,Python专家工程师 (MJ000175)（北京）
滴滴,11-18k,Python（AI人工智能）
中汽院汽车技术有限公司,10-22k,高级数据分析师/数据科学家
某基金/证券/期货公司,30-60k·24薪,网络安全测试工程师（社会招聘）
智马达汽车有限公司,20-30k·14薪,量化策略组合Python开发
中软国际教育,8-13k,Python开发经理
软通动力技术服务,10-13k,python讲师（五险一金+周末双休）
赛意信息,16-19k,python开发(荣耀业务)
上海点正互联网科技有限公司,8-12k,Python开发工程师/华为项目
华为,14-28k·15薪,Python开发工程师（Python Engineer）
南京今时来思智能科技有限公司,6-11k,python测试开发工程师
广州市深云信息技术有限公司,16-20k,python程序员
广州辰创科技发展有限公司,6-8k,Python测试开发工程师
京北方信息,30-50k·14薪,高级测试（Python开发）
